Category,Region,Turnover Band,Percentage
E301 Residential Building Construction,Auckland Region,01 <$100k,0.058676878
E301 Residential Building Construction,Auckland Region,02 $100k-<$1m,0.051858418
E301 Residential Building Construction,Auckland Region,03 $1m-<$5m,0.01632619
E301 Residential Building Construction,Auckland Region,04 $5m-<$10m,0.002545276
E301 Residential Building Construction,Auckland Region,05 $10m-<$20m,0.001300166
E301 Residential Building Construction,Auckland Region,06 $20m-<$50m,0.000753842
E301 Residential Building Construction,Auckland Region,07 $50m-<$100m,0.000152462
E301 Residential Building Construction,Auckland Region,08 $100m-<$200m,0.000105877
E301 Residential Building Construction,Auckland Region,09 $200m+,5.93E-05
E301 Residential Building Construction,Canterbury Region,01 <$100k,0.019130117
E301 Residential Building Construction,Canterbury Region,02 $100k-<$1m,0.016907129
E301 Residential Building Construction,Canterbury Region,03 $1m-<$5m,0.005322743
E301 Residential Building Construction,Canterbury Region,04 $5m-<$10m,0.000829823
E301 Residential Building Construction,Canterbury Region,05 $10m-<$20m,0.000423886
E301 Residential Building Construction,Canterbury Region,06 $20m-<$50m,0.000245771
E301 Residential Building Construction,Canterbury Region,07 $50m-<$100m,4.97E-05
E301 Residential Building Construction,Canterbury Region,08 $100m-<$200m,3.45E-05
E301 Residential Building Construction,Canterbury Region,09 $200m+,1.93E-05
E301 Residential Building Construction,Rest of North Island,01 <$100k,0.02731542
E301 Residential Building Construction,Rest of North Island,02 $100k-<$1m,0.024141272
E301 Residential Building Construction,Rest of North Island,03 $1m-<$5m,0.007600213
E301 Residential Building Construction,Rest of North Island,04 $5m-<$10m,0.001184884
E301 Residential Building Construction,Rest of North Island,05 $10m-<$20m,0.000605257
E301 Residential Building Construction,Rest of North Island,06 $20m-<$50m,0.000350931
E301 Residential Building Construction,Rest of North Island,07 $50m-<$100m,7.10E-05
E301 Residential Building Construction,Rest of North Island,08 $100m-<$200m,4.93E-05
E301 Residential Building Construction,Rest of North Island,09 $200m+,2.76E-05
E301 Residential Building Construction,Rest of South Island,01 <$100k,0.016668932
E301 Residential Building Construction,Rest of South Island,02 $100k-<$1m,0.014731943
E301 Residential Building Construction,Rest of South Island,03 $1m-<$5m,0.004637945
E301 Residential Building Construction,Rest of South Island,04 $5m-<$10m,0.000723062
E301 Residential Building Construction,Rest of South Island,05 $10m-<$20m,0.000369351
E301 Residential Building Construction,Rest of South Island,06 $20m-<$50m,0.000214152
E301 Residential Building Construction,Rest of South Island,07 $50m-<$100m,4.33E-05
E301 Residential Building Construction,Rest of South Island,08 $100m-<$200m,3.01E-05
E301 Residential Building Construction,Rest of South Island,09 $200m+,1.68E-05
E301 Residential Building Construction,Waikato Region,01 <$100k,0.013499225
E301 Residential Building Construction,Waikato Region,02 $100k-<$1m,0.011930567
E301 Residential Building Construction,Waikato Region,03 $1m-<$5m,0.003756009
E301 Residential Building Construction,Waikato Region,04 $5m-<$10m,0.000585567
E301 Residential Building Construction,Waikato Region,05 $10m-<$20m,0.000299117
E301 Residential Building Construction,Waikato Region,06 $20m-<$50m,0.000173429
E301 Residential Building Construction,Waikato Region,07 $50m-<$100m,3.51E-05
E301 Residential Building Construction,Waikato Region,08 $100m-<$200m,2.44E-05
E301 Residential Building Construction,Waikato Region,09 $200m+,1.36E-05
E301 Residential Building Construction,Wellington Region,01 <$100k,0.013722969
E301 Residential Building Construction,Wellington Region,02 $100k-<$1m,0.012128311
E301 Residential Building Construction,Wellington Region,03 $1m-<$5m,0.003818264
E301 Residential Building Construction,Wellington Region,04 $5m-<$10m,0.000595273
E301 Residential Building Construction,Wellington Region,05 $10m-<$20m,0.000304074
E301 Residential Building Construction,Wellington Region,06 $20m-<$50m,0.000176304
E301 Residential Building Construction,Wellington Region,07 $50m-<$100m,3.57E-05
