region,building_type,year,offset,multiplier
Auckland Region,Commercial,2020,0,0.8782177971480147
Auckland Region,Commercial,2021,1,0.8964489488093618
Auckland Region,Commercial,2022,2,1.0971882975724796
Auckland Region,Commercial,2023,3,1.150240208940338
Auckland Region,Commercial,2024,4,1.2162065270614855
Auckland Region,Farm,2020,0,1.0688773483519145
Auckland Region,Farm,2021,1,1.0776762090486387
Auckland Region,Farm,2022,2,0.8324210603876766
Auckland Region,Farm,2023,3,0.7083224661013547
Auckland Region,Farm,2024,4,1.0184308153116859
Auckland Region,Industrial,2020,0,1.554314996106793
Auckland Region,Industrial,2021,1,1.5228794095805254
Auckland Region,Industrial,2022,2,1.8250736092078297
Auckland Region,Industrial,2023,3,2.2520538630171503
Auckland Region,Industrial,2024,4,1.8367788704758687
Auckland Region,Institutional,2020,0,1.06791113118639
Auckland Region,Institutional,2021,1,1.6937142596515529
Auckland Region,Institutional,2022,2,2.3441671253076093
Auckland Region,Institutional,2023,3,1.546647423176009
Auckland Region,Institutional,2024,4,1.5779691422449433
Auckland Region,Residential,2020,0,1.2763355450827414
Auckland Region,Residential,2021,1,1.6320788529966106
Auckland Region,Residential,2022,2,1.7325001553481876
Auckland Region,Residential,2023,3,1.399342801410318
Auckland Region,Residential,2024,4,1.2956055955618655
Canterbury Region,Commercial,2020,0,0.3983313836325557
Canterbury Region,Commercial,2021,1,0.5560475611011763
Canterbury Region,Commercial,2022,2,0.6285206738334858
Canterbury Region,Commercial,2023,3,0.6519502747715193
Canterbury Region,Commercial,2024,4,0.9896961167692715
Canterbury Region,Farm,2020,0,0.46184821500380585
Canterbury Region,Farm,2021,1,0.7911543832181588
Canterbury Region,Farm,2022,2,0.7102589253182907
Canterbury Region,Farm,2023,3,0.9030399198952136
Canterbury Region,Farm,2024,4,0.8140979064919249
Canterbury Region,Industrial,2020,0,0.6799599105235481
Canterbury Region,Industrial,2021,1,0.9862572794344857
Canterbury Region,Industrial,2022,2,1.480561751099166
Canterbury Region,Industrial,2023,3,1.3195084060675442
Canterbury Region,Industrial,2024,4,1.6176463769850518
Canterbury Region,Institutional,2020,0,0.5651829731286044
Canterbury Region,Institutional,2021,1,0.8851508811473275
Canterbury Region,Institutional,2022,2,0.9323948858020179
Canterbury Region,Institutional,2023,3,0.9812711285459136
Canterbury Region,Institutional,2024,4,0.6826515064291173
Canterbury Region,Residential,2020,0,1.0364299455043702
Canterbury Region,Residential,2021,1,1.3075313540164464
Canterbury Region,Residential,2022,2,1.5546856219748768
Canterbury Region,Residential,2023,3,1.3291749087998326
Canterbury Region,Residential,2024,4,1.2614108558151462
Rest of North Island,Commercial,2020,0,1.1798636527966446
Rest of North Island,Commercial,2021,1,1.6202304929197249
Rest of North Island,Commercial,2022,2,1.5489385155656314
Rest of North Island,Commercial,2023,3,1.8294701348981868
Rest of North Island,Commercial,2024,4,1.654794576008333
