year,region,building_type,value,baseline_mean,index
2015,Auckland Region,Commercial,1022606954.0,1341709095.2,0.7621674159163142
2016,Auckland Region,Commercial,1041319263.0,1341709095.2,0.7761140374805144
2017,Auckland Region,Commercial,1520238561.0,1341709095.2,1.1330612324524696
2018,Auckland Region,Commercial,1535128902.0,1341709095.2,1.1441592722982683
2019,Auckland Region,Commercial,1589251796.0,1341709095.2,1.1844980418524333
2020,Auckland Region,Commercial,1178312806.0,1341709095.2,0.8782177971480147
2021,Auckland Region,Commercial,1202773708.0,1341709095.2,0.8964489488093618
2022,Auckland Region,Commercial,1472107518.0,1341709095.2,1.0971882975724796
2023,Auckland Region,Commercial,1543287750.0,1341709095.2,1.150240208940338
2024,Auckland Region,Commercial,1631795359.0,1341709095.2,1.2162065270614855
2015,Auckland Region,Farm,20501327.0,26339887.4,0.7783376856804635
2016,Auckland Region,Farm,26416891.0,26339887.4,1.0029234597259518
2017,Auckland Region,Farm,28597384.0,26339887.4,1.085706387643859
2018,Auckland Region,Farm,29864709.0,26339887.4,1.1338206783678202
2019,Auckland Region,Farm,26319126.0,26339887.4,0.9992117885819057
2020,Auckland Region,Farm,28154109.0,26339887.4,1.0688773483519145
2021,Auckland Region,Farm,28385870.0,26339887.4,1.0776762090486387
2022,Auckland Region,Farm,21925877.0,26339887.4,0.8324210603876766
2023,Auckland Region,Farm,18657134.0,26339887.4,0.7083224661013547
2024,Auckland Region,Farm,26825353.0,26339887.4,1.0184308153116859
2015,Auckland Region,Industrial,402472168.0,529239019.8,0.7604733455822941
2016,Auckland Region,Industrial,323210233.0,529239019.8,0.6107074892590904
2017,Auckland Region,Industrial,536480267.0,529239019.8,1.0136823758813862
2018,Auckland Region,Industrial,721118190.0,529239019.8,1.3625567333877069
2019,Auckland Region,Industrial,662914241.0,529239019.8,1.2525800558895224
2020,Auckland Region,Industrial,822604145.0,529239019.8,1.554314996106793
2021,Auckland Region,Industrial,805967206.0,529239019.8,1.5228794095805254
2022,Auckland Region,Industrial,965900168.0,529239019.8,1.8250736092078297
2023,Auckland Region,Industrial,1191874779.0,529239019.8,2.2520538630171503
2024,Auckland Region,Industrial,972095049.0,529239019.8,1.8367788704758687
2015,Auckland Region,Institutional,372548824.0,553126952.0,0.6735322201403051
2016,Auckland Region,Institutional,661918863.0,553126952.0,1.1966852466809463
2017,Auckland Region,Institutional,548842049.0,553126952.0,0.9922533100502396
2018,Auckland Region,Institutional,499965028.0,553126952.0,0.9038883861873359
2019,Auckland Region,Institutional,682359996.0,553126952.0,1.2336408369411729
2020,Auckland Region,Institutional,590690429.0,553126952.0,1.06791113118639
2021,Auckland Region,Institutional,936839006.0,553126952.0,1.6937142596515529
2022,Auckland Region,Institutional,1296622017.0,553126952.0,2.3441671253076093
2023,Auckland Region,Institutional,855492375.0,553126952.0,1.546647423176009
2024,Auckland Region,Institutional,872817262.0,553126952.0,1.5779691422449433
2015,Auckland Region,Residential,4299289549.0,6054927418.4,0.7100480735632133
2016,Auckland Region,Residential,5617400816.0,6054927418.4,0.9277404051004108
2017,Auckland Region,Residential,6066833460.0,6054927418.4,1.0019663392766394
2018,Auckland Region,Residential,6477839858.0,6054927418.4,1.0698459965539528
2019,Auckland Region,Residential,7813273409.0,6054927418.4,1.2903991855057841
2020,Auckland Region,Residential,7728119087.0,6054927418.4,1.2763355450827414
2021,Auckland Region,Residential,9882118996.0,6054927418.4,1.6320788529966106
