Year,Region,Project_Percentage,GDP_Percentage,Population_Percentage
2000,Auckland,0.303278746,0.358026654,0.311511537
2000,Canterbury,0.130276884,0.115950861,0.12797511
2000,Rest of North Island,0.224554342,0.196557419,0.238371792
2000,Rest of South Island,0.116319676,0.095894161,0.113274566
2000,Waikato,0.10087479,0.081463229,0.095436868
2000,Wellington,0.124895563,0.152107676,0.113430127
2001,Auckland,0.303642945,0.348008578,0.314027219
2001,Canterbury,0.130189345,0.115104432,0.128028663
2001,Rest of North Island,0.224307295,0.204457647,0.236441901
2001,Rest of South Island,0.116768101,0.099842288,0.113078668
2001,Waikato,0.101351937,0.087000058,0.094958243
2001,Wellington,0.123940377,0.145586996,0.113465306
2002,Auckland,0.306798031,0.348750301,0.318117337
2002,Canterbury,0.130113895,0.114986287,0.12795116
2002,Rest of North Island,0.222190593,0.201637778,0.234167596
2002,Rest of South Island,0.11632955,0.101048084,0.112245415
2002,Waikato,0.10127387,0.088306361,0.094589117
2002,Wellington,0.123494062,0.145271189,0.112929375
2003,Auckland,0.312239225,0.364397627,0.322264994
2003,Canterbury,0.130448438,0.116835082,0.128026822
2003,Rest of North Island,0.219279606,0.193931145,0.231814231
2003,Rest of South Island,0.115381479,0.098992469,0.111387061
2003,Waikato,0.099875004,0.081053691,0.094176083
2003,Wellington,0.122976248,0.144789987,0.112330808
2004,Auckland,0.314408759,0.368003654,0.324451296
2004,Canterbury,0.130922142,0.118086697,0.128410287
2004,Rest of North Island,0.217617501,0.190873609,0.230198928
2004,Rest of South Island,0.114991691,0.099097603,0.110841958
2004,Waikato,0.099980766,0.082226098,0.094081088
2004,Wellington,0.122279142,0.14171234,0.112016443
2005,Auckland,0.31629782,0.371092865,0.326365198
2005,Canterbury,0.131541175,0.120803328,0.128692749
2005,Rest of North Island,0.216467743,0.189735826,0.228883889
2005,Rest of South Island,0.11442949,0.097899157,0.110328809
2005,Waikato,0.099819402,0.081329218,0.094045632
2005,Wellington,0.12164437,0.139139605,0.111683724
2006,Auckland,0.317355019,0.369307721,0.328147033
2006,Canterbury,0.131826746,0.120884988,0.129060013
2006,Rest of North Island,0.215559962,0.189462379,0.227719223
2006,Rest of South Island,0.113841165,0.097330306,0.109653211
2006,Waikato,0.09998858,0.082803486,0.093974809
2006,Wellington,0.121628527,0.140211121,0.111445711
2007,Auckland,0.316962249,0.361386944,0.329221225
2007,Canterbury,0.132406561,0.121997163,0.129614283
2007,Rest of North Island,0.21559062,0.194262924,0.226789477
2007,Rest of South Island,0.113726011,0.098904677,0.109180025
2007,Waikato,0.100742178,0.087323551,0.094073355
2007,Wellington,0.120772382,0.136124741,0.111121635
2008,Auckland,0.316982624,0.357752017,0.3299838
2008,Canterbury,0.132579913,0.121136313,0.130021365
2008,Rest of North Island,0.216076069,0.201045673,0.226070012
2008,Rest of South Island,0.113700829,0.100281775,0.108867654
2008,Waikato,0.100586481,0.085228795,0.094287794
2008,Wellington,0.120274084,0.134555428,0.110769375
2009,Auckland,0.31594704,0.348370478,0.330489563
2009,Canterbury,0.133119277,0.123255777,0.130317541
2009,Rest of North Island,0.21565553,0.200789081,0.225556744
2009,Rest of South Island,0.113920344,0.103265364,0.108559208
2009,Waikato,0.101264847,0.088595193,0.094518574
2009,Wellington,0.120292962,0.135724106,0.110558371
2010,Auckland,0.316801692,0.351847288,0.330934921
2010,Canterbury,0.133281217,0.123416097,0.130502747
2010,Rest of North Island,0.215078365,0.197856981,0.225374129
2010,Rest of South Island,0.113564125,0.102766311,0.108181421
2010,Waikato,0.100904365,0.084796583,0.094802418
2010,Wellington,0.120570236,0.13931674,0.110204363
2011,Auckland,0.318186141,0.350880033,0.332991125
2011,Canterbury,0.131194223,0.123910996,0.127597929
2011,Rest of North Island,0.215411847,0.200052979,0.22537814
2011,Rest of South Island,0.113918717,0.103308218,0.108548354
2011,Waikato,0.101364079,0.085874343,0.095202245
2011,Wellington,0.120124992,0.135973432,0.110282207
2012,Auckland,0.215527688,0.353330082,0.334989563
2012,Canterbury,0.124437737,0.124622541,0.126145748
2012,Rest of North Island,0.258463103,0.195387963,0.22477085
2012,Rest of South Island,0.210565191,0.102157848,0.108403666
2012,Waikato,0.161053306,0.087654969,0.095630275
2012,Wellington,0.029952975,0.136846597,0.110059897
2013,Auckland,0.37624974,0.358272992,0.336185159
2013,Canterbury,0.099448314,0.127584593,0.12673361
2013,Rest of North Island,0.149477023,0.19340969,0.223838256
2013,Rest of South Island,0.097161639,0.10041482,0.108069164
2013,Waikato,0.126254615,0.084056056,0.095596182
2013,Wellington,0.151408669,0.13626185,0.10957763
2014,Auckland,0.290432945,0.353110886,0.336677074
2014,Canterbury,0.188646712,0.132086002,0.126353551
2014,Rest of North Island,0.224632796,0.191839398,0.224052791
2014,Rest of South Island,0.091668567,0.102754547,0.107819039
2014,Waikato,0.088480617,0.087526403,0.09575057
2014,Wellington,0.116138362,0.132682763,0.109346974
2015,Auckland,0.599410513,0.36432047,0.336927984
2015,Canterbury,0.089984133,0.132357421,0.127064031
2015,Rest of North Island,0.091203789,0.18686141,0.223729034
2015,Rest of South Island,0.059600974,0.099251599,0.107470653
2015,Waikato,0.089696801,0.084295935,0.095927268
2015,Wellington,0.070103789,0.132913164,0.108881029
2016,Auckland,0.296144618,0.3768239,0.337265052
2016,Canterbury,0.163509188,0.12978303,0.127688913
2016,Rest of North Island,0.136690469,0.181895017,0.223429081
2016,Rest of South Island,0.087711529,0.097450746,0.107217107
2016,Waikato,0.136579008,0.083023888,0.096058382
2016,Wellington,0.179365189,0.131023419,0.108341465
2017,Auckland,0.176189,0.37785623,0.337655052
2017,Canterbury,0.319324324,0.125944714,0.127636145
2017,Rest of North Island,0.16878447,0.18405039,0.223545056
2017,Rest of South Island,0.071780462,0.098530056,0.106858651
2017,Waikato,0.127791871,0.083583969,0.096615346
2017,Wellington,0.136129873,0.130034641,0.10768975
2018,Auckland,0.315055612,0.375241859,0.337741856
2018,Canterbury,0.098715815,0.12625827,0.127112417
2018,Rest of North Island,0.227028259,0.187077928,0.223936648
2018,Rest of South Island,0.073127667,0.100159808,0.106804637
2018,Waikato,0.201174192,0.084938569,0.097069149
2018,Wellington,0.084898454,0.126323567,0.107335293
2019,Auckland,0.461370701,0.375785804,0.338155988
2019,Canterbury,0.03454086,0.125137903,0.127173213
2019,Rest of North Island,0.224125657,0.187222153,0.223881198
2019,Rest of South Island,0.083002649,0.100778787,0.106588055
2019,Waikato,0.114500404,0.086926436,0.097372022
2019,Wellington,0.08245973,0.124148916,0.106829524
2020,Auckland,0.421589913,0.372693419,0.337559398
2020,Canterbury,0.065982837,0.125515752,0.127353747
2020,Rest of North Island,0.232540195,0.187062732,0.224264053
2020,Rest of South Island,0.093449994,0.099986391,0.10686752
2020,Waikato,0.091502151,0.087964023,0.097896169
2020,Wellington,0.09493491,0.126777684,0.106059112
2021,Auckland,0.279221179,0.371729852,0.335169158
2021,Canterbury,0.084116407,0.123725274,0.128363493
2021,Rest of North Island,0.306070715,0.190951653,0.225727773
2021,Rest of South Island,0.120657088,0.098894375,0.106431943
2021,Waikato,0.158287619,0.090020761,0.098623131
2021,Wellington,0.051646991,0.124678084,0.1056845
2022,Auckland,0.265700416,0.373032074,0.333471099
2022,Canterbury,0.110990738,0.123081508,0.12955856
2022,Rest of North Island,0.212334012,0.191288074,0.226407668
2022,Rest of South Island,0.131999686,0.098860671,0.106433646
2022,Waikato,0.149268132,0.089993344,0.099250162
