Year,Value,Region,Building Type,Data Type
2024,8206,Auckland Region,Houses,Number
2024,3354002629,Auckland Region,Houses,Value
2024,1421,Auckland Region,Apartments,Number
2024,700772616,Auckland Region,Apartments,Value
2024,672,Auckland Region,Retirement village,Number
2024,1120810088,Auckland Region,Retirement village,Value
2024,7777,Auckland Region,Townhouses,Number
2024,2632807372,Auckland Region,Townhouses,Value
2024,262,Auckland Region,Domestic outbuildings,Number
2024,36405139,Auckland Region,Domestic outbuildings,Value
2024,3987,Waikato Region,Houses,Number
2024,1136399712,Waikato Region,Houses,Value
2024,30,Waikato Region,Apartments,Number
2024,11919000,Waikato Region,Apartments,Value
2024,165,Waikato Region,Retirement village,Number
2024,70740717,Waikato Region,Retirement village,Value
2024,925,Waikato Region,Townhouses,Number
2024,290652611,Waikato Region,Townhouses,Value
2024,407,Waikato Region,Domestic outbuildings,Number
2024,31306431,Waikato Region,Domestic outbuildings,Value
2024,3131,Wellington Region,Houses,Number
2024,662474760,Wellington Region,Houses,Value
2024,182,Wellington Region,Apartments,Number
2024,64162843,Wellington Region,Apartments,Value
2024,135,Wellington Region,Retirement village,Number
2024,27579842,Wellington Region,Retirement village,Value
2024,968,Wellington Region,Townhouses,Number
2024,302467395,Wellington Region,Townhouses,Value
2024,227,Wellington Region,Domestic outbuildings,Number
2024,19123799,Wellington Region,Domestic outbuildings,Value
2024,6971,Canterbury Region,Houses,Number
2024,2003132881,Canterbury Region,Houses,Value
2024,93,Canterbury Region,Apartments,Number
2024,2063071541,Canterbury Region,Apartments,Value
2024,363,Canterbury Region,Retirement village,Number
2024,134397008,Canterbury Region,Retirement village,Value
2024,2490,Canterbury Region,Townhouses,Number
2024,680756229,Canterbury Region,Townhouses,Value
2024,354,Canterbury Region,Domestic outbuildings,Number
2024,32070581,Canterbury Region,Domestic outbuildings,Value
2024,9025,Rest of North Island,Houses,Number
2024,2050980589,Rest of North Island,Houses,Value
2024,288,Rest of North Island,Apartments,Number
2024,89122816,Rest of North Island,Apartments,Value
2024,272,Rest of North Island,Retirement village,Number
2024,93682477,Rest of North Island,Retirement village,Value
2024,1509,Rest of North Island,Townhouses,Number
2024,504139008,Rest of North Island,Townhouses,Value
2024,651,Rest of North Island,Domestic outbuildings,Number
2024,51546853,Rest of North Island,Domestic outbuildings,Value
2024,6467,Rest of South Island,Houses,Number
2024,1596657725,Rest of South Island,Houses,Value
2024,112,Rest of South Island,Apartments,Number
2024,42029180,Rest of South Island,Apartments,Value
2024,256,Rest of South Island,Retirement village,Number
2024,73872228,Rest of South Island,Retirement village,Value
2024,1047,Rest of South Island,Townhouses,Number
2024,374997562,Rest of South Island,Townhouses,Value
2024,449,Rest of South Island,Domestic outbuildings,Number
2024,38193226,Rest of South Island,Domestic outbuildings,Value
2024,50,Auckland Region,Temporary Accommodation,Number
2024,220495424,Auckland Region,Temporary Accommodation,Value
2024,100,Auckland Region,Healthcare,Number
2024,538625957,Auckland Region,Healthcare,Value
2024,363,Auckland Region,Education,Number
2024,334191305,Auckland Region,Education,Value
2024,135,Auckland Region,Sociocultural,Number
2024,188674642,Auckland Region,Sociocultural,Value
2024,903,Auckland Region,Commercial,Number
2024,1222625293,Auckland Region,Commercial,Value
2024,489,Auckland Region,Industrial,Number
2024,972095049,Auckland Region,Industrial,Value
2024,143,Auckland Region,Farm,Number
2024,26825353,Auckland Region,Farm,Value
2024,24,Waikato Region,Temporary Accommodation,Number
2024,23787000,Waikato Region,Temporary Accommodation,Value
2024,47,Waikato Region,Healthcare,Number
2024,102782500,Waikato Region,Healthcare,Value
2024,184,Waikato Region,Education,Number
2024,75611172,Waikato Region,Education,Value
2024,99,Waikato Region,Sociocultural,Number
2024,40516998,Waikato Region,Sociocultural,Value
2024,246,Waikato Region,Commercial,Number
